id,nombre,descripcion,ultima_actualizacion,api_url
6xsa-23re,"Solicitudes: Asesorías, Consultorías y Asistencias Técnicas - DFAGE.","Corresponde a las solicitudes allegadas a la ESAP con motivo de Asesorías, Consultorías y Asistencias Técnicas, en el marco de las actividades de Proyección Institucional.

Nos interesa conocer su opinión sobre nuestros conjuntos de datos. Lo invitamos a diligenciar esta breve encuesta de satisfacción de datos abiertos:
https://forms.office.com/r/ShyaGTmDmp",2025-12-19T22:58:23.000Z,https://www.datos.gov.co/resource/6xsa-23re.json
7j2v-ibrv,Informe de producción RED SALUD CENTRO (Decreto 2193),"Informe de producción de servicios, decreto 2193 de 2014 de la Red Salud del Centro de Cali desde el año 2019.",2025-12-19T23:05:46.000Z,https://www.datos.gov.co/resource/7j2v-ibrv.json
er68-a8j3,BD FARMACIAS Y TIENDAS NATURISTAS CAMARA DE COMERCIO DE BUGA,"Base de datos con las empresas que reportaron en su código de actividad económica, alguna actividad relacionada con farmacias y tiendas naturistas en la jurisdicción de la Cámara de Comercio de Buga",2025-12-19T23:16:39.000Z,https://www.datos.gov.co/resource/er68-a8j3.json
kucm-q3z8,Publicaciones en Portal Web Alcaldía Municipal De Valledupar,"En cumplimiento de la Ley de Transparencia y su Resolución 3564 de 2015, Anexo 1, ítem 10.7 “Registro de publicaciones: El sujeto obligado debe publicar un registro de publicaciones que contenga los documentos publicados de conformidad con la ley 1712 de 2014 y automáticamente disponibles”,",2025-12-19T23:19:48.000Z,https://www.datos.gov.co/resource/kucm-q3z8.json
4nrr-z5es,"Evaluación de Tierras para el cultivo tecnificado de yuca (Manihot esculenta Crantz.), en el departamento de Atlántico.","El mapa es el producto resultante de la validación y aplicación de la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento del Atlántico, en el marco del convenio interadministrativo No. 254 de 2016, suscrito entre la Gobernación de Atlántico y la UPRA. El proceso de evaluación de tierras es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. El mapa de aptitud, es una herramienta que permite identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción del cultivo tecnificado de yuca (Manihot esculenta Crantz.) para el mercado nacional y de exportación con fines comerciales, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No Apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción del cultivo tecnificado de yuca (Manihot esculenta Crantz.) con fines comerciales.",2025-12-19T23:19:35.000Z,https://www.datos.gov.co/resource/4nrr-z5es.json
y5zp-2t95,SECOP I - 201602,"Procesos de Compra pública registrados en el SECOP I desde su implementación, contiene la información del proceso, fase de selección y la adjudicación",2026-04-06T23:07:18.000Z,https://www.datos.gov.co/resource/y5zp-2t95.json
3h2a-84iy,Establecimientos inspeccionados en cumplimiento del concepto sanitario en el municipio de Fusagasugá,"La Secretaría de Salud de la Alcaldía del municipio de Fusagasugá da a conocer Establecimientos de comercio que han sido inspeccionados en cumplimiento del concepto sanitario en el municipio de Fusagasugácorte a 31 de julio del año 2025. Estos establecimientos de comercio han sido verificados, de manera presencial y técnica para evaluar las condiciones sanitarias y de salubridad, de acuerdo con la normatividad vigente. El Concepto Sanitario es emitido una vez realizada la inspección, vigilancia y control al establecimiento donde se fabriquen, procesen, preparen, envasen, almacenen transporten, distribuyan, comercialicen, importen o exporten alimentos o sus materias primas.",2025-12-19T22:57:14.000Z,https://www.datos.gov.co/resource/3h2a-84iy.json
a64y-ust3,Vista Areas Protegidas del Tolima Organización CORTOLIMA,Clasificación y Codificación de las areas protegidas del departamento del Tolima,2025-12-19T23:09:05.000Z,https://www.datos.gov.co/resource/a64y-ust3.json
sby9-hwd2,VEREDAS Y BARRIOS MUNICIPIO DE TANGUA,VEREDAS Y BARRIOS MUNICIPIO DEL MUNICIPIO  DE TANGUA,2025-07-18T21:15:38.000Z,https://www.datos.gov.co/resource/sby9-hwd2.json
muxx-9rfi,Prestadores de servicios turísticos de Santuario,"Prestadores de servicios turísticos de Santuario, ubicación de los diferentes servicios de interés para los visitantes del municipio",2025-12-19T22:45:05.000Z,https://www.datos.gov.co/resource/muxx-9rfi.json
